Year,Raw Response,Converted Responses
4,Yes,1
3,Yes,1
4,Yes,1
3,Yes,1
1,No,0
1,No,0
2,No,0
1,No,0
2,No,0
1,No,0
1,No,0
3,No,0
3,Yes,1
4,No,0
2,Yes,1
4,Yes,1
2,Yes,1
4,No,0
4,Yes,1
2,No,0
3,Yes,1
2,No,0
4,Yes,1
4,No,0
4,No,0
3,No,0
4,No,0
2,No,0
3,No,0
4,No,0
3,No,0
4,No,0
3,No,0
3,No,0
2,Yes,1
4,No,0
4,No,0
2,No,0
3,No,0
4,No,0
3,No,0
4,No,0
4,No,0
2,No,0
2,No,0
4,No,0
4,No,0
3,No,0
4,Yes,1
4,No,0
4,No,0
4,No,0
2,No,0
2,No,0
4,No,0
4,No,0
4,No,0
2,Yes,1
4,No,0
4,No,0
2,No,0
3,No,0
4,Yes,1
4,No,0
4,No,0
4,No,0
4,Yes,1
3,No,0
3,No,0
2,No,0
2,No,0
3,Yes,1
3,No,0
4,No,0
4,No,0
4,Yes,1
4,Yes,1
4,Yes,1
3,No,0
2,No,0
3,No,0
4,Yes,1
3,Yes,1
2,No,0
3,Yes,1
4,No,0
4,No,0
3,No,0
3,Yes,1
2,No,0
3,No,0
2,No,0
3,Yes,1
4,No,0
4,No,0
4,Yes,1
4,No,0
1,No,0
2,No,0
3,No,0
2,Yes,1
2,No,0
3,No,0
4,Yes,1
3,No,0
4,Yes,1
4,No,0
2,No,0
4,No,0
3,No,0
4,No,0
3,No,0
3,Yes,1
3,No,0
4,No,0
4,Yes,1
4,Yes,1
4,Yes,1
4,No,0
1,No,0
4,Yes,1
2,Yes,1
4,Yes,1
3,No,0
4,No,0
4,Yes,1
4,No,0
4,No,0
4,No,0
2,No,0
4,No,0
4,Yes,1
4,No,0
4,No,0
4,No,0
4,No,0
4,Yes,1
3,No,0
4,No,0
4,No,0
4,No,0
4,No,0
4,No,0
3,No,0
2,No,0
4,No,0
4,Yes,1
4,No,0
4,No,0
4,Yes,1
4,No,0
4,No,0
4,Yes,1
4,No,0
4,No,0
4,No,0
4,Yes,1
4,Yes,1
4,No,0
4,No,0
4,No,0
4,Yes,1
3,No,0
4,No,0
4,Yes,1
4,No,0
2,No,0
4,No,0
4,No,0
4,Yes,1
3,No,0
2,Yes,1
2,No,0
3,No,0
2,No,0
2,Yes,1
2,No,0
4,Yes,1
4,No,0
2,No,0
4,No,0
2,Yes,1
3,No,0
3,Yes,1
4,No,0
1,No,0
4,No,0
2,No,0
3,No,0
4,No,0
4,No,0
2,No,0
3,No,0
4,No,0
4,No,0
4,Yes,1
4,No,0
2,No,0
3,No,0
4,No,0
4,No,0
4,Yes,1
4,No,0
3,No,0
4,Yes,1
2,Yes,1
4,Yes,1